mode,method,display,class,seed,budget,K,reward,success,collision,C,rho,C_source,n_episodes
reeval,ac_dsgf,AC-DSGF,Ours,1234,train_default,,9.643051924940664,0.25390625,0.01953125,44.82177734375,0.18675740559895831,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=2),Ours,1234,fixed_k_2,2,9.794210936350282,0.298828125,0.015625,27.701171875,0.11542154947916666,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=4),Ours,1234,fixed_k_4,4,9.950387126533315,0.31640625,0.0234375,41.019775390625,0.17091573079427083,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=6),Ours,1234,fixed_k_6,6,9.679703751404304,0.328125,0.01171875,42.98486328125,0.17910359700520834,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF,Ours,2026,train_default,,7.921151126967743,0.197265625,0.015625,42.1669921875,0.17569580078125002,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=2),Ours,2026,fixed_k_2,2,7.9192970774602145,0.18359375,0.0078125,26.9619140625,0.11234130859375,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=4),Ours,2026,fixed_k_4,4,7.964650349342264,0.17578125,0.01171875,41.218017578125,0.17174173990885416,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=6),Ours,2026,fixed_k_6,6,8.407751607039245,0.181640625,0.0,42.49560546875,0.17706502278645833,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF,Ours,3407,train_default,,8.587967607483733,0.224609375,0.0,44.5009765625,0.18542073567708334,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=2),Ours,3407,fixed_k_2,2,9.346947519807145,0.234375,0.0078125,27.79931640625,0.11583048502604167,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=4),Ours,3407,fixed_k_4,4,8.827027797116898,0.236328125,0.0078125,40.829345703125,0.17012227376302083,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=6),Ours,3407,fixed_k_6,6,8.74082471919246,0.18359375,0.0,44.32568359375,0.18469034830729167,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF,Ours,42,train_default,,9.635639178508427,0.248046875,0.01953125,41.61328125,0.173388671875,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=2),Ours,42,fixed_k_2,2,9.742518655955791,0.255859375,0.0078125,26.92724609375,0.11219685872395833,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=4),Ours,42,fixed_k_4,4,9.843592417426407,0.291015625,0.01953125,39.10595703125,0.16294148763020833,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=6),Ours,42,fixed_k_6,6,9.934524580894504,0.2734375,0.0234375,41.240478515625,0.17183532714843752,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF,Ours,8888,train_default,,9.035040455695707,0.212890625,0.0078125,44.39794921875,0.18499145507812498,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=2),Ours,8888,fixed_k_2,2,9.3982323599339,0.22265625,0.0078125,28.242919921875,0.11767883300781251,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=4),Ours,8888,fixed_k_4,4,9.113700512680225,0.25,0.015625,42.51416015625,0.177142333984375,topology_diag_C_t,32
reeval,ac_dsgf,AC-DSGF (K=6),Ours,8888,fixed_k_6,6,9.531430225702934,0.205078125,0.01171875,47.0302734375,0.19595947265625,topology_diag_C_t,32
