factor,method,display,seed,p_loss,delay_ms,delay_steps,bandwidth,reward,success,C,C_eff,E_mean,epsilon_G
bandwidth,ac_dsgf,AC-DSGF,42,0.0,0,0,0.1,9.578096420504153,0.31640625,14.58349609375,14.58349609375,14.58349609375,nan
bandwidth,ac_dsgf,AC-DSGF,42,0.0,0,0,0.2,10.026145444251597,0.23828125,15.3076171875,15.3076171875,15.3076171875,nan
bandwidth,ac_dsgf,AC-DSGF,42,0.0,0,0,0.4,9.18174029677175,0.2421875,23.58349609375,23.58349609375,23.58349609375,nan
bandwidth,ac_dsgf,AC-DSGF,42,0.0,0,0,0.8,10.348646351019852,0.23046875,40.5068359375,40.5068359375,40.5068359375,nan
loss,ac_dsgf,AC-DSGF,8888,0.0,0,0,,9.28293175343424,0.19140625,44.0341796875,44.0341796875,44.0341796875,nan
loss,ac_dsgf,AC-DSGF,8888,0.1,0,0,,8.894552091136575,0.2265625,41.5869140625,37.42822265625,41.5869140625,nan
loss,ac_dsgf,AC-DSGF,8888,0.3,0,0,,8.565460648853332,0.2578125,30.37109375,21.259765625,30.37109375,nan
loss,ac_dsgf,AC-DSGF,8888,0.5,0,0,,9.692779332166538,0.203125,22.7119140625,11.35595703125,22.7119140625,nan
delay,ac_dsgf,AC-DSGF,8888,0.0,0,0,,8.870265814824961,0.1796875,45.8603515625,45.8603515625,45.8603515625,nan
delay,ac_dsgf,AC-DSGF,8888,0.0,20,1,,8.365298273856752,0.2421875,43.6201171875,43.6201171875,43.6201171875,nan
delay,ac_dsgf,AC-DSGF,8888,0.0,50,2,,9.118694992968813,0.2109375,44.5517578125,44.5517578125,44.5517578125,nan
delay,ac_dsgf,AC-DSGF,8888,0.0,100,4,,8.9376561724348,0.21484375,44.494140625,44.494140625,44.494140625,nan
bandwidth,ac_dsgf,AC-DSGF,8888,0.0,0,0,0.1,9.111965449759737,0.27734375,15.30224609375,15.30224609375,15.30224609375,nan
bandwidth,ac_dsgf,AC-DSGF,8888,0.0,0,0,0.2,9.499770503956825,0.2109375,15.82568359375,15.82568359375,15.82568359375,nan
bandwidth,ac_dsgf,AC-DSGF,8888,0.0,0,0,0.4,8.982528259279206,0.2109375,25.23583984375,25.23583984375,25.23583984375,nan
bandwidth,ac_dsgf,AC-DSGF,8888,0.0,0,0,0.8,9.063008267781697,0.19921875,42.48095703125,42.48095703125,42.48095703125,nan
loss,dsgf,DSGF,1234,0.0,0,0,,8.16201355936937,0.25,45.345703125,45.345703125,45.345703125,nan
loss,dsgf,DSGF,1234,0.1,0,0,,8.676921705948189,0.1953125,40.0904296875,36.08138671875,40.0904296875,nan
loss,dsgf,DSGF,1234,0.3,0,0,,9.52514958800748,0.22265625,34.636328125000006,24.245429687500003,34.636328125000006,nan
loss,dsgf,DSGF,1234,0.5,0,0,,8.7938340093242,0.203125,23.40478515625,11.702392578125,23.40478515625,nan
delay,dsgf,DSGF,1234,0.0,0,0,,8.905100343516096,0.22265625,47.7783203125,47.7783203125,47.7783203125,nan
delay,dsgf,DSGF,1234,0.0,20,1,,8.44714867870789,0.26171875,45.26171875,45.26171875,45.26171875,nan
delay,dsgf,DSGF,1234,0.0,50,2,,8.945430544088595,0.26171875,45.5185546875,45.5185546875,45.5185546875,nan
delay,dsgf,DSGF,1234,0.0,100,4,,8.821388062788174,0.25390625,47.0966796875,47.0966796875,47.0966796875,nan
loss,dsgf,DSGF,2026,0.0,0,0,,8.622452997835353,0.23046875,38.64453125,38.64453125,38.64453125,nan
loss,dsgf,DSGF,2026,0.1,0,0,,8.600908000487834,0.21484375,34.243066406249994,30.818759765624996,34.243066406249994,nan
loss,dsgf,DSGF,2026,0.3,0,0,,8.18549533514306,0.171875,26.580859374999996,18.606601562499996,26.580859374999996,nan
loss,dsgf,DSGF,2026,0.5,0,0,,8.772019289899617,0.17578125,19.193359375,9.5966796875,19.193359375,nan
delay,dsgf,DSGF,2026,0.0,0,0,,8.50659079203615,0.19140625,38.310546875,38.310546875,38.310546875,nan
delay,dsgf,DSGF,2026,0.0,20,1,,8.87273181276396,0.26171875,37.0556640625,37.0556640625,37.0556640625,nan
delay,dsgf,DSGF,2026,0.0,50,2,,9.045211899559945,0.18359375,39.451171875,39.451171875,39.451171875,nan
delay,dsgf,DSGF,2026,0.0,100,4,,8.684031015262008,0.203125,35.7626953125,35.7626953125,35.7626953125,nan
loss,dsgf,DSGF,3407,0.0,0,0,,8.500704382080585,0.26953125,43.6552734375,43.6552734375,43.6552734375,nan
loss,dsgf,DSGF,3407,0.1,0,0,,8.553879116894677,0.1875,38.395898437499994,34.556308593749996,38.395898437499994,nan
loss,dsgf,DSGF,3407,0.3,0,0,,8.769039351609536,0.1796875,30.424707031250005,21.297294921875004,30.424707031250005,nan
loss,dsgf,DSGF,3407,0.5,0,0,,8.841485468437895,0.15625,21.75341796875,10.876708984375,21.75341796875,nan
delay,dsgf,DSGF,3407,0.0,0,0,,9.113251824514009,0.16796875,43.5498046875,43.5498046875,43.5498046875,nan
delay,dsgf,DSGF,3407,0.0,20,1,,8.228433805110399,0.22265625,42.21875,42.21875,42.21875,nan
delay,dsgf,DSGF,3407,0.0,50,2,,9.464467268669978,0.22265625,43.9462890625,43.9462890625,43.9462890625,nan
delay,dsgf,DSGF,3407,0.0,100,4,,8.484132304904051,0.1796875,45.068359375,45.068359375,45.068359375,nan
loss,dsgf,DSGF,42,0.0,0,0,,9.276406040880829,0.19140625,41.9521484375,41.9521484375,41.9521484375,nan
loss,dsgf,DSGF,42,0.1,0,0,,9.222133158240467,0.21484375,36.595898437500004,32.936308593750006,36.595898437500004,nan
loss,dsgf,DSGF,42,0.3,0,0,,9.141687208088115,0.1875,29.53671875,20.675703125,29.53671875,nan
loss,dsgf,DSGF,42,0.5,0,0,,8.699917531572282,0.1875,20.82373046875,10.411865234375,20.82373046875,nan
delay,dsgf,DSGF,42,0.0,0,0,,9.630199748557061,0.2109375,42.3798828125,42.3798828125,42.3798828125,nan
delay,dsgf,DSGF,42,0.0,20,1,,8.933365255128592,0.16015625,40.9091796875,40.9091796875,40.9091796875,nan
delay,dsgf,DSGF,42,0.0,50,2,,9.601424762862734,0.23046875,41.458984375,41.458984375,41.458984375,nan
delay,dsgf,DSGF,42,0.0,100,4,,8.927582835080102,0.19921875,41.8212890625,41.8212890625,41.8212890625,nan
loss,dsgf,DSGF,8888,0.0,0,0,,10.245013070176356,0.265625,47.4111328125,47.4111328125,47.4111328125,nan
loss,dsgf,DSGF,8888,0.1,0,0,,9.593096335884184,0.28125,43.913671875000006,39.522304687500004,43.913671875000006,nan
loss,dsgf,DSGF,8888,0.3,0,0,,9.639594131149352,0.37890625,32.452929687499996,22.717050781249995,32.452929687499996,nan
loss,dsgf,DSGF,8888,0.5,0,0,,10.827611646498553,0.328125,23.2021484375,11.60107421875,23.2021484375,nan
delay,dsgf,DSGF,8888,0.0,0,0,,10.063239615759812,0.265625,48.6591796875,48.6591796875,48.6591796875,nan
delay,dsgf,DSGF,8888,0.0,20,1,,9.767159081064165,0.34765625,47.3583984375,47.3583984375,47.3583984375,nan
delay,dsgf,DSGF,8888,0.0,50,2,,10.009792473283596,0.2890625,47.3173828125,47.3173828125,47.3173828125,nan
delay,dsgf,DSGF,8888,0.0,100,4,,9.995806205552071,0.2890625,47.994140625,47.994140625,47.994140625,nan
loss,full_attn,Full-Attention,1234,0.0,0,0,,8.590683187358081,0.26953125,240.0,240.0,240.0,nan
loss,full_attn,Full-Attention,1234,0.1,0,0,,9.193433495296631,0.2734375,216.0,194.4,216.0,nan
loss,full_attn,Full-Attention,1234,0.3,0,0,,9.454481869353913,0.171875,168.0,117.6,168.0,nan
loss,full_attn,Full-Attention,1234,0.5,0,0,,9.010240982170217,0.26171875,120.0,60.0,120.0,nan
delay,full_attn,Full-Attention,1234,0.0,0,0,,9.172168512362987,0.19140625,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,1234,0.0,20,1,,8.590683187358081,0.26953125,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,1234,0.0,50,2,,9.743156342767179,0.2265625,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,1234,0.0,100,4,,9.085131292929873,0.23046875,240.0,240.0,240.0,nan
loss,full_attn,Full-Attention,2026,0.0,0,0,,8.504365369677544,0.22265625,240.0,240.0,240.0,nan
loss,full_attn,Full-Attention,2026,0.1,0,0,,8.37333925999701,0.1640625,216.0,194.4,216.0,nan
loss,full_attn,Full-Attention,2026,0.3,0,0,,8.429357531131245,0.1953125,168.0,117.6,168.0,nan
loss,full_attn,Full-Attention,2026,0.5,0,0,,8.69991997955367,0.21484375,120.0,60.0,120.0,nan
delay,full_attn,Full-Attention,2026,0.0,0,0,,8.714047336019576,0.21484375,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,2026,0.0,20,1,,8.490859354496934,0.21875,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,2026,0.0,50,2,,9.49495971086435,0.21875,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,2026,0.0,100,4,,8.90739022672642,0.23046875,240.0,240.0,240.0,nan
loss,full_attn,Full-Attention,3407,0.0,0,0,,9.504374424810521,0.30859375,240.0,240.0,240.0,nan
loss,full_attn,Full-Attention,3407,0.1,0,0,,9.138590281479992,0.22265625,216.0,194.4,216.0,nan
loss,full_attn,Full-Attention,3407,0.3,0,0,,9.483663669088855,0.25,168.0,117.6,168.0,nan
loss,full_attn,Full-Attention,3407,0.5,0,0,,9.668544789776206,0.27734375,120.0,60.0,120.0,nan
delay,full_attn,Full-Attention,3407,0.0,0,0,,8.872095157159492,0.1796875,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,3407,0.0,20,1,,9.299802829278633,0.25390625,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,3407,0.0,50,2,,9.210822109947912,0.2109375,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,3407,0.0,100,4,,9.009099236573093,0.19140625,240.0,240.0,240.0,nan
loss,full_attn,Full-Attention,42,0.0,0,0,,9.768114578560926,0.265625,240.0,240.0,240.0,nan
loss,full_attn,Full-Attention,42,0.1,0,0,,9.796824032906443,0.21484375,216.0,194.4,216.0,nan
loss,full_attn,Full-Attention,42,0.3,0,0,,10.043850078363903,0.28515625,168.0,117.6,168.0,nan
loss,full_attn,Full-Attention,42,0.5,0,0,,10.032464971300215,0.296875,120.0,60.0,120.0,nan
delay,full_attn,Full-Attention,42,0.0,0,0,,10.270461229723878,0.25390625,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,42,0.0,20,1,,10.251631458871998,0.2734375,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,42,0.0,50,2,,9.99392769113183,0.27734375,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,42,0.0,100,4,,10.06577987386845,0.35546875,240.0,240.0,240.0,nan
loss,full_attn,Full-Attention,8888,0.0,0,0,,11.568954572197981,0.44140625,240.0,240.0,240.0,nan
loss,full_attn,Full-Attention,8888,0.1,0,0,,10.464831150369719,0.3203125,216.0,194.4,216.0,nan
loss,full_attn,Full-Attention,8888,0.3,0,0,,10.7481928068446,0.43359375,168.0,117.6,168.0,nan
loss,full_attn,Full-Attention,8888,0.5,0,0,,11.444741844432428,0.37109375,120.0,60.0,120.0,nan
delay,full_attn,Full-Attention,8888,0.0,0,0,,11.160135615849867,0.375,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,8888,0.0,20,1,,10.569864600081928,0.38671875,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,8888,0.0,50,2,,11.599697569385171,0.41796875,240.0,240.0,240.0,nan
delay,full_attn,Full-Attention,8888,0.0,100,4,,11.22749999165535,0.390625,240.0,240.0,240.0,nan
